accession	entry_name	protein_names	gene_names	organism	sequence_source	keywords	go_ids	ligand_chebis	decision	reason
A0ABD0X4V4	A0ABD0X4V4_UMBPY	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	UPYG_G00099790	Umbra pygmaea (Eastern mudminnow)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0004930;GO:0030284;GO:0005496;GO:0006915;GO:0030154;GO:0071392;GO:0051447;GO:1900194;GO:0007399		KEEP	KW-0675 steroid hormone receptor
A0ABD1KR80	A0ABD1KR80_9TELE	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	ACEWY4_003438	Coilia grayii (Gray's grenadier anchovy)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0004930;GO:0030284;GO:0005496;GO:0006915;GO:0030154;GO:0071392;GO:0051447;GO:1900194;GO:0007399		KEEP	KW-0675 steroid hormone receptor
A0ABD2GHK7	A0ABD2GHK7_PAGBO	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	OYC64_005770	Pagothenia borchgrevinki (Bald rockcod) (Trematomus borchgrevinki)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0053;KW-0131;KW-1003;KW-0966;KW-0963;KW-0968;KW-0206;KW-0221;KW-1015;KW-0256;KW-0967;KW-0297;KW-0333;KW-0472;KW-0496;KW-0524;KW-0539;KW-0628;KW-0675;KW-1185;KW-0770;KW-0807;KW-0812;KW-1133	GO:0030424;GO:0016323;GO:0030659;GO:0005856;GO:0032591;GO:0005769;GO:0005789;GO:0000139;GO:0031966;GO:0005634;GO:0048471;GO:0014069;GO:0055037;GO:0004930;GO:0030284;GO:0005496;GO:0006915;GO:0030154;GO:0071392;GO:0051447;GO:1900194;GO:0007399		KEEP	KW-0675 steroid hormone receptor
A0JNC3	INSI1_BOVIN	Insulin-induced gene 1 protein (INSIG-1)	INSIG1	Bos taurus (Bovine)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0153;KW-0256;KW-1017;KW-0443;KW-0446;KW-0472;KW-0597;KW-1185;KW-0753;KW-1207;KW-0812;KW-1133;KW-0832	GO:0005783;GO:0032937;GO:0008142;GO:0032869;GO:0006695;GO:0032933;GO:0036316		REVIEW	free-text mentions steroid vocabulary but no formal annotation
A0JPH4	SCAP_XENLA	Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein)	scap	Xenopus laevis (African clawed frog)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0153;KW-0968;KW-0256;KW-0325;KW-0333;KW-0443;KW-0446;KW-0472;KW-1185;KW-0677;KW-0753;KW-1207;KW-0812;KW-1133;KW-0853	GO:0005789;GO:0012507;GO:0000139;GO:0032936;GO:0032934;GO:0008203;GO:0090110;GO:0045540;GO:0032933		KEEP	GO sterane-specific: ['GO:0032934']
A1Z6J2	A1Z6J2_DROME	Sterol regulatory element-binding protein cleavage-activating protein	SCAP CG14592 CG8356 Dmel\CG33131 dSCAP dScap dscap Scap Scap_Dm CG33131 Dmel_CG33131	Drosophila melanogaster (Fruit fly)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0153;KW-0256;KW-0333;KW-0443;KW-0446;KW-0472;KW-1185;KW-0677;KW-0753;KW-1207;KW-0812;KW-1133;KW-0853	GO:0005789;GO:0012507;GO:0000139;GO:0032936;GO:0032934;GO:0008203;GO:0006631;GO:0045540;GO:0006357;GO:0032933		KEEP	GO sterane-specific: ['GO:0032934']
A2A8Z1	OSBL9_MOUSE	Oxysterol-binding protein-related protein 9 (ORP-9) (OSBP-related protein 9)	Osbpl9 Orp9	Mus musculus (Mouse)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0007;KW-0025;KW-0967;KW-0333;KW-0445;KW-0446;KW-0472;KW-0597;KW-1185;KW-0813	GO:0005829;GO:0140284;GO:0160258;GO:0005794;GO:0031902;GO:0005765;GO:0016020;GO:0032991;GO:0005802;GO:1990351;GO:0160270;GO:0032934;GO:0097212;GO:0055091;GO:0006649	CHEBI:57262;CHEBI:58178	KEEP	GO sterane-specific: ['GO:0032934']
A2WUH7	A2WUH7_ORYSI	non-specific serine/threonine protein kinase (EC 2.7.11.1)	OsI_03528	Oryza sativa subsp. indica (Rice)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0067;KW-1070;KW-1003;KW-0325;KW-0418;KW-0433;KW-0472;KW-0547;KW-0675;KW-1185;KW-0677;KW-0723;KW-0732;KW-0808;KW-0812;KW-1133	GO:0005768;GO:0005886;GO:0032991;GO:0005524;GO:0046982;GO:0042803;GO:0004674;GO:0033612;GO:0000149;GO:0005496;GO:0009742;GO:0009729;GO:0001578;GO:0090351;GO:0009647	CHEBI:15378;CHEBI:29999;CHEBI:30013;CHEBI:30616;CHEBI:456216;CHEBI:61977;CHEBI:83421	KEEP	KW-0675 steroid hormone receptor
A3QMC6	ERLN_CAEEL	Erlin (Endoplasmic reticulum lipid raft-associated protein 1)	erl-1 C42C1.15	Caenorhabditis elegans	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0256;KW-0325;KW-0472;KW-1185;KW-0735;KW-0812;KW-1133	GO:0005789;GO:0032991;GO:0015485;GO:0031625;GO:0032933		KEEP	GO sterane-specific: ['GO:0015485']
A5PLE7	GP83A_DANRE	G-protein coupled receptor 183-A	gpr183a gpr183 zgc:165579	Danio rerio (Zebrafish) (Brachydanio rerio)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1064;KW-1003;KW-1015;KW-0297;KW-0325;KW-0391;KW-0472;KW-0675;KW-1185;KW-0807;KW-0812;KW-1133	GO:0005886;GO:0004930;GO:0008142;GO:0002250;GO:0060216;GO:0002407;GO:0036145;GO:0098508;GO:0007186;GO:0030595;GO:0045746;GO:0030316;GO:0070374;GO:2000458;GO:0010818;GO:0061470		KEEP	KW-0675 steroid hormone receptor
A6IIA7	A6IIA7_RAT	Calbindin (Calbindin D28) (D-28K) (Spot 35 protein) (Vitamin D-dependent calcium-binding protein, avian-type)	Calb1 rCG_54961	Rattus norvegicus (Rat)	UniProt accession (from Rhea steroid-reaction query — corpus seed)				DROP_VITD	calbindin — vitamin-D-induced Ca-binding protein, not a steroid binder
A6J3I0	A6J3I0_RAT	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	Nr3c1 rCG_49245	Rattus norvegicus (Rat)	UniProt accession (from Rhea steroid-reaction query — corpus seed)				KEEP_BY_NAME	sterane — cortisol binds sterane
A6KAG2	A6KAG2_RAT	RCG24160	Gas1 rCG_24160	Rattus norvegicus (Rat)	UniProt accession (from Rhea steroid-reaction query — corpus seed)				DROP_NONE	no steroid keyword, GO term, or ligand annotation
A6QM06	SCAP_BOVIN	Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein)	SCAP	Bos taurus (Bovine)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0153;KW-0968;KW-0256;KW-0325;KW-0333;KW-1017;KW-0443;KW-0446;KW-0472;KW-0488;KW-0597;KW-1185;KW-0677;KW-0753;KW-1207;KW-0812;KW-1133;KW-0832;KW-0853	GO:0005789;GO:0012507;GO:0000139;GO:0032936;GO:0032934;GO:0008203;GO:0090110;GO:0045540;GO:0032933		KEEP	GO sterane-specific: ['GO:0032934']
A7X8B5	PRGR_PANPA	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Pan paniscus (Pygmy chimpanzee) (Bonobo)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:1990837;GO:0005496;GO:0008270;GO:0006351	CHEBI:17026	KEEP	binds sterane-passing ChEBI: ['CHEBI:17026']
A7X8B9	PRGR_PONPY	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Pongo pygmaeus (Bornean orangutan)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:1990837;GO:0005496;GO:0008270;GO:0006351		KEEP	GO sterane-specific: ['GO:0003707']
A7X8C2	PRGR_HYLLA	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Hylobates lar (Lar gibbon) (White-handed gibbon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:0043565;GO:0005496;GO:0008270;GO:0006351	CHEBI:17026	KEEP	binds sterane-passing ChEBI: ['CHEBI:17026']
A7X8C4	PRGR_MACSY	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Macaca sylvanus (Barbary macaque)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:0043565;GO:0005496;GO:0008270;GO:0006351	CHEBI:17026	KEEP	binds sterane-passing ChEBI: ['CHEBI:17026']
A7X8C7	PRGR_PAPAN	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Papio anubis (Olive baboon)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:0043565;GO:0005496;GO:0008270;GO:0006351	CHEBI:17026	KEEP	binds sterane-passing ChEBI: ['CHEBI:17026']
A7X8C9	PRGR_CHLAE	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:0043565;GO:0005496;GO:0008270;GO:0006351	CHEBI:17026	KEEP	binds sterane-passing ChEBI: ['CHEBI:17026']
A7X8D2	PRGR_COLGU	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Colobus guereza (Mantled guereza) (Eastern black-and-white colobus monkey)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:0043565;GO:0005496;GO:0008270;GO:0006351	CHEBI:17026	KEEP	binds sterane-passing ChEBI: ['CHEBI:17026']
A7X8D4	PRGR_TRAOB	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Trachypithecus obscurus (Dusky leaf-monkey) (Presbytis obscura)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:0043565;GO:0005496;GO:0008270;GO:0006351		KEEP	GO sterane-specific: ['GO:0003707']
A7XW16	PRGR_SAPAP	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Sapajus apella (Brown-capped capuchin) (Cebus apella)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:0043565;GO:0005496;GO:0008270;GO:0006351	CHEBI:17026	KEEP	binds sterane-passing ChEBI: ['CHEBI:17026']
A7XW20	PRGR_PITIR	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Pithecia irrorata (Gray monk saki)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:0043565;GO:0005496;GO:0008270;GO:0006351		KEEP	GO sterane-specific: ['GO:0003707']
A7XW25	PRGR_ATEPA	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Ateles paniscus (Red-faced black spider monkey) (Simia paniscus)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0005737;GO:0005654;GO:0003707;GO:0043565;GO:0005496;GO:0008270;GO:0006351		KEEP	GO sterane-specific: ['GO:0003707']
A8IRI3	A8IRI3_RAT	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	Nr3c1 gr	Rattus norvegicus (Rat)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0156;KW-0158;KW-0963;KW-0206;KW-0238;KW-0446;KW-0479;KW-0496;KW-0539;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0005813;GO:0005694;GO:0005829;GO:0005739;GO:0005654;GO:0005819;GO:0004883;GO:0019901;GO:0043565;GO:0005496;GO:0008270;GO:0006325;GO:0006351;GO:0045893;GO:0010906;GO:0010817;GO:2000322;GO:0097305;GO:0051384;GO:1901654;GO:0008202		KEEP	KW-0675 steroid hormone receptor
B0FHH8	ML1P_MANSE	MD-2-related lipid-recognition protein (MsML-1)		Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0903;KW-1015;KW-0325;KW-0446;KW-0964;KW-0732	GO:0005576;GO:0032934;GO:0015918		KEEP	GO sterane-specific: ['GO:0032934']
B2NIY0	B2NIY0_XENLA	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	esr1.S bER alpha1 ERalpha ERbeta esr1 esr1-a esr1-b esr1b nr3a1 XER xesr-1 xesr1 xlERalpha1 xlERalpha2	Xenopus laevis (African clawed frog)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0238;KW-0446;KW-0479;KW-0539;KW-0675;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0000785;GO:0005634;GO:0034056;GO:0030284;GO:0004879;GO:0005496;GO:0008270;GO:0071391;GO:0006351;GO:0030520;GO:0006357		KEEP	KW-0675 steroid hormone receptor
B4L6E1	B4L6E1_DROMO	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)	Dmoj\GI16351 Dmoj_GI16351	Drosophila mojavensis (Fruit fly)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0227;KW-0234;KW-0446;KW-0539;KW-0597;KW-1185;KW-0754;KW-0808;KW-0833	GO:0005737;GO:0005634;GO:0003677;GO:0004879;GO:0005496;GO:0061630;GO:0030521;GO:0006281;GO:0090090;GO:0046329;GO:0010804;GO:0000209;GO:0050770;GO:0007431;GO:0006511		KEEP_WEAK	KW-0754 steroid-binding keyword (curator-assigned)
B5DEH2	ERLN2_RAT	Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2)	Erlin2 Spfh2	Rattus norvegicus (Rat)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0007;KW-0153;KW-0256;KW-0325;KW-0443;KW-0472;KW-1185;KW-0735;KW-0753;KW-1207;KW-0812;KW-1133	GO:0005783;GO:0005789;GO:0045121;GO:0032991;GO:0015485;GO:0031625;GO:0008203;GO:0036503;GO:0045541;GO:0045717;GO:0045540;GO:0032933		KEEP	GO sterane-specific: ['GO:0015485']
B8JJL3	B8JJL3_DANRE	Estrogen receptor 2b	esr2b	Danio rerio (Zebrafish) (Brachydanio rerio)	UniProt accession (from Rhea steroid-reaction query — corpus seed)				KEEP_BY_NAME	sterane — estradiol binds sterane
C1KB84	C1KB84_CHICK	Mineralocorticoid receptor (Nuclear receptor subfamily 3 group C member 2)	NR3C2	Gallus gallus (Chicken)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-0446;KW-0479;KW-0539;KW-0675;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0005829;GO:0005634;GO:0003700;GO:0043565;GO:1990239;GO:0008270;GO:1904045;GO:0071386;GO:0071376;GO:0006351;GO:0030252;GO:0051459;GO:0060126		KEEP	GO sterane-specific: ['GO:1990239']
D1MV73	D1MV73_ORYLA	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	AR beta AR	Oryzias latipes (Japanese rice fish) (Japanese killifish)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-0446;KW-0479;KW-0539;KW-0675;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:1990794;GO:0000785;GO:0005737;GO:0005634;GO:0005497;GO:0001046;GO:0034056;GO:0031963;GO:0004879;GO:1990239;GO:0008270;GO:0030521;GO:0006351;GO:0008584;GO:0010628;GO:0045944;GO:0051414;GO:0007283		KEEP	GO sterane-specific: ['GO:0005497', 'GO:1990239']
D7M8J2	D7M8J2_ARALL	non-specific serine/threonine protein kinase (EC 2.7.11.1)	ARALYDRAFT_912402	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0067;KW-1003;KW-0325;KW-0418;KW-0433;KW-0446;KW-0472;KW-0547;KW-0675;KW-1185;KW-0677;KW-0723;KW-0732;KW-0754;KW-0808;KW-0812;KW-1133	GO:0005768;GO:0005886;GO:0032991;GO:0005524;GO:0046982;GO:0042803;GO:0004674;GO:0000149;GO:0005496;GO:0009742;GO:0009729;GO:0009416;GO:0090351	CHEBI:15378;CHEBI:29999;CHEBI:30013;CHEBI:30616;CHEBI:456216;CHEBI:61977;CHEBI:83421	KEEP	KW-0675 steroid hormone receptor
E0V8F9	E0V8F9_MICOH	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	NR3C1 Nr3c1	Microtus ochrogaster (Prairie vole)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0156;KW-0158;KW-0963;KW-0206;KW-0238;KW-0446;KW-0479;KW-0496;KW-0539;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0005813;GO:0005694;GO:0005829;GO:0005739;GO:0005654;GO:0005819;GO:0004883;GO:0019901;GO:0043565;GO:0005496;GO:0008270;GO:0006325;GO:0006351;GO:0045893;GO:0010906;GO:0010817;GO:2000322;GO:0097305;GO:0051384;GO:1901654;GO:0008202		KEEP	KW-0675 steroid hormone receptor
E0YJE6	E0YJE6_RAT	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	Pgr	Rattus norvegicus (Rat)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-0446;KW-0449;KW-0479;KW-0539;KW-0564;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0832;KW-0862;KW-0863	GO:0000785;GO:0005737;GO:0005634;GO:0005886;GO:0051117;GO:0001228;GO:0042802;GO:0003707;GO:0000978;GO:0005496;GO:0001223;GO:0008270;GO:0006351;GO:0008585;GO:0051457;GO:0010629;GO:0022602;GO:0050847;GO:1901654		KEEP	GO sterane-specific: ['GO:0003707']
E1BF81	CBG_BOVIN	Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin)	SERPINA6 CBG	Bos taurus (Bovine)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0325;KW-0446;KW-1185;KW-0964;KW-0732;KW-0754;KW-0813	GO:0005615;GO:0140104;GO:0004867;GO:0005496	CHEBI:17650	KEEP	binds sterane-passing ChEBI: ['CHEBI:17650']
E3VX35	E3VX35_9HYST	Apolipoprotein D (Apo-D)		Fukomys anselli (Ansell's mole-rat)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1015;KW-0325;KW-0446;KW-0449;KW-0873;KW-0964;KW-0732;KW-0813	GO:0022626;GO:0030425;GO:0005615;GO:0043025;GO:0048471;GO:0015485;GO:0007420;GO:0006006;GO:0006629;GO:0006869;GO:1900016;GO:0051895;GO:0060588;GO:0071638;GO:0010642;GO:0042308;GO:0048662;GO:2000098;GO:2000405;GO:0014012;GO:0048678;GO:0000302;GO:0042246		KEEP	GO sterane-specific: ['GO:0015485']
E3VX36	E3VX36_HETGA	Apolipoprotein D (Apo-D)	Apod GW7_00081	Heterocephalus glaber (Naked mole rat)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1015;KW-0325;KW-0446;KW-0449;KW-0873;KW-0964;KW-0732;KW-0813	GO:0022626;GO:0030425;GO:0005615;GO:0043025;GO:0048471;GO:0015485;GO:0007420;GO:0006006;GO:0006629;GO:0006869;GO:1900016;GO:0051895;GO:0060588;GO:0071638;GO:0010642;GO:0042308;GO:0048662;GO:2000098;GO:2000405;GO:0014012;GO:0048678;GO:0000302;GO:0042246		KEEP	GO sterane-specific: ['GO:0015485']
E5KQF5	E5KQF5_HUMAN	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	NR3C1 hCG_37601	Homo sapiens (Human)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0156;KW-0158;KW-0963;KW-0206;KW-0238;KW-0446;KW-0479;KW-0488;KW-0496;KW-0539;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0005813;GO:0005694;GO:0005829;GO:0005739;GO:0005654;GO:0005819;GO:0004883;GO:0019901;GO:1990837;GO:0005496;GO:0008270;GO:0006325;GO:0006351;GO:0045893;GO:0051384;GO:1901654		KEEP	KW-0675 steroid hormone receptor
E5KQF6	E5KQF6_HUMAN	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	NR3C1 hCG_37601	Homo sapiens (Human)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0156;KW-0158;KW-0963;KW-0206;KW-0238;KW-0446;KW-0479;KW-0488;KW-0496;KW-0539;KW-0597;KW-0675;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0005813;GO:0005694;GO:0005829;GO:0005739;GO:0005654;GO:0005819;GO:0004883;GO:0019901;GO:1990837;GO:0005496;GO:0008270;GO:0006325;GO:0006351;GO:0045893;GO:0051384;GO:1901654		KEEP	KW-0675 steroid hormone receptor
F1MN19	F1MN19_BOVIN	Glucocorticoid receptor (Nuclear receptor subfamily 3 group C member 1)	NR3C1	Bos taurus (Bovine)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0156;KW-0158;KW-0963;KW-0206;KW-0238;KW-0446;KW-0479;KW-0496;KW-0539;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0005813;GO:0000785;GO:0005829;GO:0005739;GO:0005654;GO:0005634;GO:0005819;GO:0034056;GO:0004883;GO:0004879;GO:0019901;GO:0005496;GO:0008270;GO:0006325;GO:0006351;GO:0030518;GO:0045893;GO:0006357;GO:0051384;GO:1901654		KEEP	KW-0675 steroid hormone receptor
F1N548	F1N548_BOVIN	Synaptophysin	SYP	Bos taurus (Bovine)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0106;KW-0968;KW-0325;KW-0472;KW-0597;KW-1185;KW-0677;KW-0770;KW-0771;KW-0812;KW-1133;KW-0832	GO:0042584;GO:0030136;GO:0060076;GO:0031594;GO:0048471;GO:0048786;GO:0042734;GO:0098685;GO:0030672;GO:0043195;GO:0015485;GO:0051020;GO:0042802;GO:0042169;GO:0045920;GO:0048169;GO:0048168;GO:0048172;GO:0010807		KEEP	GO sterane-specific: ['GO:0015485']
F1N712	F1N712_BOVIN	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR	Bos taurus (Bovine)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0963;KW-0238;KW-0446;KW-0479;KW-0539;KW-0597;KW-0675;KW-1185;KW-0754;KW-0804;KW-0805;KW-0862;KW-0863	GO:0000785;GO:0005737;GO:0005634;GO:0005886;GO:0051117;GO:0001228;GO:0034056;GO:0042802;GO:0004879;GO:0003707;GO:0005496;GO:0001223;GO:0008270;GO:0006351;GO:0051457;GO:0010629;GO:0030518;GO:0050847;GO:0006357		KEEP	GO sterane-specific: ['GO:0003707']
F1QEA1	MNARL_DANRE	Major intrinsically disordered NOTCH2-binding receptor 1-like (Major intrinsically disordered NOTCH2-associated receptor 2)	minar2	Danio rerio (Zebrafish) (Brachydanio rerio)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-0256;KW-0325;KW-0458;KW-0472;KW-1185;KW-0812;KW-1133	GO:0005783;GO:0005789;GO:0005765;GO:0015485;GO:0001525;GO:0042632		KEEP	GO sterane-specific: ['GO:0015485']
F1SQX9	F1SQX9_PIG	Apolipoprotein D (Apo-D)	APOD	Sus scrofa (Pig)	UniProt accession (from Rhea steroid-reaction query — corpus seed)	KW-1015;KW-0325;KW-0446;KW-1267;KW-0873;KW-1185;KW-0964;KW-0732;KW-0813	GO:0005737;GO:0022626;GO:0030425;GO:0005615;GO:0043025;GO:0048471;GO:0015485;GO:0007420;GO:0006006;GO:0006629;GO:0006869;GO:1900016;GO:0051895;GO:0060588;GO:0071638;GO:0010642;GO:0042308;GO:0048662;GO:2000098;GO:2000405;GO:0014012;GO:0048678;GO:0000302;GO:0042246		KEEP	GO sterane-specific: ['GO:0015485']
